id,name,description,cuisine_type
29e0f0bd-4599-4c3d-b574-7c7455e01838,Пицца Маргарита,Пицца Маргарита - традиционное блюдо итальянская кухни.,итальянская
cdbc59d5-c1ff-4fbd-aac5-7cc1fedeb1bb,Паста Карбонара,Паста Карбонара - традиционное блюдо итальянская кухни.,итальянская
014fabd0-3b80-4d04-bb29-a8e62e5f63c2,Ризотто,Ризотто — традиционное блюдо итальянская кухни.,итальянская
29fabd3f-44c6-4207-999b-a8cc319829fa,Тирамису,Тирамису — традиционное блюдо итальянская кухни.,итальянская
13e6abcd-ac8e-4f5f-8faa-0148ef4afe06,Лазанья,Лазанья — традиционное блюдо итальянская кухни.,итальянская
fc4379a5-7f84-450f-992e-49c4a9a35339,Панна-котта,Панна-котта — традиционное блюдо итальянская кухни.,итальянская
1d05bab9-47e4-4b90-a1bb-25704a5e70e9,Гаспачо,Гаспачо — традиционное блюдо итальянская кухни.,итальянская
a7f3e7e8-4b89-43de-a198-bc098d9ca3d6,Паста Болоньезе,Паста Болоньезе — традиционное блюдо итальянская кухни.,итальянская
8d5e2705-20c0-4d44-a4e9-0209396c7251,Брускетта,Брускетта — традиционное блюдо итальянская кухни.,итальянская
f975e940-d042-4704-b81b-10956a6da59c,Минестроне,Минестроне — традиционное блюдо итальянская кухни.,итальянская
4f1ebbf5-c941-42ac-b118-795d8f60c622,Пицца Пепперони,Пицца Пепперони — традиционное блюдо итальянская кухни.,итальянская
ba60ff8b-c8d4-4697-a8d6-6d588e5c881e,Паста Арабьята,Паста Арабьята — традиционное блюдо итальянская кухни.,итальянская
3098e21d-aaf7-4e02-b8db-b27791e438d4,Оссобуко,Оссобуко — традиционное блюдо итальянская кухни.,итальянская
5073616f-5fc2-43c7-b0fd-68ddc51850cc,Капрезе,Капрезе — традиционное блюдо итальянская кухни.,итальянская
0eb9ed9c-42d5-469e-98f9-4de3af8a56f5,Равиоли с рикоттой,Равиоли с рикоттой — традиционное блюдо итальянская кухни.,итальянская
ff7d53a6-814f-44a1-9b91-eb6eb6f81bb3,Тальятелле с трюфелями,Тальятелле с трюфелями — традиционное блюдо итальянская кухни.,итальянская
d05af2ae-9214-474d-bdbc-3c4d57e3c45a,Каннеллони,Каннеллони — традиционное блюдо итальянская кухни.,итальянская
c1372eb3-f21f-4b3f-b2a9-fa13b5310bf4,Фокачча,Фокачча — традиционное блюдо итальянская кухни.,итальянская
4ca2a893-1e15-47fa-83c8-9a4ebdc136d5,Панцеротти,Панцеротти — традиционное блюдо итальянская кухни.,итальянская
b56701f5-cb8f-4e94-8c90-2172554f10bc,Джелато,Джелато — традиционное блюдо итальянская кухни.,итальянская
a7a5b152-2476-4301-ba45-bcef7071078e,Аранчини,Аранчини — традиционное блюдо итальянская кухни.,итальянская
fde67a0d-4489-4067-bffd-02d49d75b201,Ньокки,Ньокки — традиционное блюдо итальянская кухни.,итальянская
a21caa70-67d8-4782-bf5f-c3fda0712e9c,Полинта,Полинта — традиционное блюдо итальянская кухни.,итальянская
4603d13d-9983-4623-94fc-acd4925863b9,Чиабатта,Чиабатта — традиционное блюдо итальянская кухни.,итальянская
b7d4838e-34dd-40d9-a3a3-099edf0198df,Панфорте,Панфорте — традиционное блюдо итальянская кухни.,итальянская
2493163f-c614-40f0-963e-0cfeb8c787cd,Тортеллини,Тортеллини — традиционное блюдо итальянская кухни.,итальянская
d81ca4c7-d9de-42ce-9c0b-9e6fca81a809,Фриттата,Фриттата — традиционное блюдо итальянская кухни.,итальянская
84d632b9-ac75-4c75-b6d5-3f36eb92da5e,Пармиджана,Пармиджана — традиционное блюдо итальянская кухни.,итальянская
2449f161-290f-46c6-8c9d-9f3ea4bee8b8,Сальтимбокка,Сальтимбокка — традиционное блюдо итальянская кухни.,итальянская
fd44d641-e90d-4471-94e3-ade6e7914a33,Пицца Четыре сыра,Пицца Четыре сыра — традиционное блюдо итальянская кухни.,итальянская
cc9ba3d4-9a9a-4054-88b5-0f14d029d9bf,Кальцоне,Кальцоне — традиционное блюдо итальянская кухни.,итальянская
e0c0b375-fa03-438a-b45c-4f67f0070b64,Панна-котта с ягодами,Панна-котта с ягодами — традиционное блюдо итальянская кухни.,итальянская
dbd59d0b-eb66-4486-8f96-e487e387bec6,Фарфалле с лососем,Фарфалле с лососем — традиционное блюдо итальянская кухни.,итальянская
f8f423f6-b414-4d42-9332-f165e8d3615d,Пицца с морепродуктами,Пицца с морепродуктами — традиционное блюдо итальянская кухни.,итальянская
f69cf594-2c55-44b6-9533-893bc6db00c8,Лимончелло,Лимончелло — традиционное блюдо итальянская кухни.,итальянская
b03baa19-ab8b-4819-a738-df83dfbcd94a,Амаретти,Амаретти — традиционное блюдо итальянская кухни.,итальянская
788b5eee-6c31-4b5a-8015-42edac524e40,Панеттоне,Панеттоне — традиционное блюдо итальянская кухни.,итальянская
4c519e24-79c9-48ca-aa2d-b6ecec62cbb7,Кростата,Кростата — традиционное блюдо итальянская кухни.,итальянская
a481b373-b258-4411-a9ad-5d299dde99d3,Фокачча с розмарином,Фокачча с розмарином — традиционное блюдо итальянская кухни.,итальянская
39897dc6-6424-4dff-b3ec-7a9b6aa3925e,Пицца с грушей и горгонзолой,Пицца с грушей и горгонзолой — традиционное блюдо итальянская кухни.,итальянская
81052900-2e10-4dfd-8117-9b0f826f00f5,Пицца,Пицца — традиционное блюдо итальянская кухни.,итальянская
edd09828-5046-4771-802b-0711684d8cfe,Паста,Паста — традиционное блюдо итальянская кухни.,итальянская
8de3bda4-2982-43eb-9d7b-44ac5e8b87ea,Суши с лососем,Суши с лососем — традиционное блюдо японская кухни.,японская
51271987-9bb7-463c-94e3-d8d4fd59ad14,Рамен,Рамен — традиционное блюдо японская кухни.,японская
b41363e3-4f19-4cb6-9fb1-6dc5c472ab07,Удон,Удон — традиционное блюдо японская кухни.,японская
67ce67ca-a684-4aac-8f09-d442b865d7ed,Мисо-суп,Мисо-суп — традиционное блюдо японская кухни.,японская
d88a94d6-7923-48cf-8340-1032d7722c62,Якитори,Якитори — традиционное блюдо японская кухни.,японская
11699303-27cf-49f4-b3f1-3f57803a6091,Темпура,Темпура — традиционное блюдо японская кухни.,японская
d5fddbbe-6895-40bc-af70-18d71e5fb263,Онигири,Онигири — традиционное блюдо японская кухни.,японская
a9bae396-2d87-43eb-aeb3-7a6b90578932,Терияки-курица,Терияки-курица — традиционное блюдо японская кухни.,японская
abdba418-0d00-416a-a7ff-262e88058a75,Окономияки,Окономияки — традиционное блюдо японская кухни.,японская
28775374-e38c-4102-890b-5e910ca364d2,Сашими,Сашими — традиционное блюдо японская кухни.,японская
ad51c20f-c18a-4532-ac7e-017767dedb63,Гюдон,Гюдон — традиционное блюдо японская кухни.,японская
39ccef33-546c-4448-98da-9fd0cd176bc5,Такояки,Такояки — традиционное блюдо японская кухни.,японская
237d5377-0b46-4e4a-b6ba-a9953c52ee23,Сукияки,Сукияки — традиционное блюдо японская кухни.,японская
7cb5d72c-1ec9-4a1e-9bec-bb829051fc8d,Шабу-шабу,Шабу-шабу — традиционное блюдо японская кухни.,японская
6492ab29-e538-4fd7-bd05-03e1eaf32449,Унаги-дон,Унаги-дон — традиционное блюдо японская кухни.,японская
d066922d-d3cd-4fc3-b878-716d7fb30e87,Чираши-суши,Чираши-суши — традиционное блюдо японская кухни.,японская
58e7c443-328e-4036-bc52-4d70ba9b534a,Моти,Моти — традиционное блюдо японская кухни.,японская
36159a04-5bf5-4e55-a321-349c869e2721,Дораяки,Дораяки — традиционное блюдо японская кухни.,японская
9f0f8f2e-ed01-4e54-90b4-cee7df538a80,Тамагояки,Тамагояки — традиционное блюдо японская кухни.,японская
bae1cfd1-86ec-4b04-93ca-e26a458d6df9,Мисо-рамен,Мисо-рамен — традиционное блюдо японская кухни.,японская
5627995e-9d9c-4990-9a0c-ea1420a89748,Хияши-тясю,Хияши-тясю — традиционное блюдо японская кухни.,японская
e7ebdbd8-a130-4491-9e73-4fe4a37a1307,Карааге,Карааге — традиционное блюдо японская кухни.,японская
f817f4eb-910f-40c0-960a-b75effa0d929,Ому-райсу,Ому-райсу — традиционное блюдо японская кухни.,японская
5694f623-86db-4c56-ab54-2a90164aab0e,Тонкацу,Тонкацу — традиционное блюдо японская кухни.,японская
ad59446c-c813-479c-aab2-847b3bcb119c,Окадзу,Окадзу — традиционное блюдо японская кухни.,японская
63aaf724-d703-4e39-8900-d9337fb21fea,Соба,Соба — традиционное блюдо японская кухни.,японская
665f5e7e-3c0e-4653-83a6-801a829379d7,Нику-дзага,Нику-дзага — традиционное блюдо японская кухни.,японская
1cabe20e-a105-47bf-8e06-056b494868d4,Цукэмоно,Цукэмоно — традиционное блюдо японская кухни.,японская
573fa8f2-d3a6-4885-bdbf-a78043b33607,Какигори,Какигори — традиционное блюдо японская кухни.,японская
7a169c70-74c2-441b-8d88-0be0733eedb6,Якисоба,Якисоба — традиционное блюдо японская кухни.,японская
8960fe67-7434-4d8c-a43c-371dc4156b50,Хакумай,Хакумай — традиционное блюдо японская кухни.,японская
9df7f8bb-50a5-4d8c-aa87-ba11b6e0fa5d,Сябу-сябу,Сябу-сябу — традиционное блюдо японская кухни.,японская
ae64af7b-1c17-4f34-a6f6-5a8666c2c228,Кацу-дон,Кацу-дон — традиционное блюдо японская кухни.,японская
83ad193c-fbe5-4182-bf06-b74f70244065,Тэрияки бургер,Тэрияки бургер — традиционное блюдо японская кухни.,японская
bf6ddb99-d05e-45c8-ae3a-d65d4c932949,Яки-нику,Яки-нику — традиционное блюдо японская кухни.,японская
49c5cfaf-89fd-4e36-b085-bbc3911c12fa,Гёдза,Гёдза — традиционное блюдо японская кухни.,японская
5e49fdb3-6e54-417c-8821-058f54d79366,Тайяки,Тайяки — традиционное блюдо японская кухни.,японская
3f81048d-4f3a-4ac8-a995-483eca9700e9,Амадзакэ,Амадзакэ — традиционное блюдо японская кухни.,японская
a19b4366-1d67-497c-9619-eab5b281544a,Юба,Юба — традиционное блюдо японская кухни.,японская
fb2ce0ac-9885-4058-83ef-60e1ebe209a4,Ширатаки,Ширатаки — традиционное блюдо японская кухни.,японская
cec44c1e-a09e-47f2-b606-1af6256d3126,Суши,Суши — традиционное блюдо японская кухни.,японская
8a239af9-4d19-4e82-a2bb-cf1c4a518cd8,Ролы,Ролы — традиционное блюдо японская кухни.,японская
7446aa91-ec0c-457d-99d2-28fa69669865,Рол,Рол — традиционное блюдо японская кухни.,японская
bb13b49d-2d0c-430f-8b8b-6575d350838d,Карри с курицей,Карри с курицей — традиционное блюдо индийская кухни.,индийская
53327ebe-29f8-4521-a672-6140407085ed,Масала Доса,Масала Доса — традиционное блюдо индийская кухни.,индийская
8acafdf4-c38c-437f-9801-1da84c6b575f,Наан с чесноком,Наан с чесноком — традиционное блюдо индийская кухни.,индийская
d44b70e1-1176-405a-b0d5-47c881f1aa7b,Цыпленок Тандури,Цыпленок Тандури — традиционное блюдо индийская кухни.,индийская
5837d073-2d25-4e59-99c9-42748a93f284,Палак панир,Палак панир — традиционное блюдо индийская кухни.,индийская
0ecc3844-eb1a-438b-9815-9bc80898406c,Басмати рис с шафраном,Басмати рис с шафраном — традиционное блюдо индийская кухни.,индийская
7a12ebb8-d3bd-463f-87f9-3f89dd580819,Самоса с картофелем,Самоса с картофелем — традиционное блюдо индийская кухни.,индийская
5f2aa700-b428-4bed-9ed9-a9ab6c9d1ad8,Роган Джош,Роган Джош — традиционное блюдо индийская кухни.,индийская
9193e761-bcb9-40a8-8ea8-a31e4348691c,Чана масала,Чана масала — традиционное блюдо индийская кухни.,индийская
461ef4fe-bcdf-4645-a5d5-047c9f231471,Дал тадка,Дал тадка — традиционное блюдо индийская кухни.,индийская
d0d3bc97-d430-41d9-9749-a74f599bf3c3,Баттер чикен,Баттер чикен — традиционное блюдо индийская кухни.,индийская
7f123337-3b81-4436-b76e-79b2c1ead8af,Бирияни с бараниной,Бирияни с бараниной — традиционное блюдо индийская кухни.,индийская
ae5f7c29-4c58-492f-b940-33d1c70c2f6b,Вада пав,Вада пав — традиционное блюдо индийская кухни.,индийская
abdd92e3-2963-42e6-973e-b1cfddf19c22,Алу гоби,Алу гоби — традиционное блюдо индийская кухни.,индийская
a95e10ed-a274-45a6-bdd2-80e7d04a43f1,Маттар панир,Маттар панир — традиционное блюдо индийская кухни.,индийская
e5f36926-3406-437b-9ee6-6c05315f7ed7,Мург махани,Мург махани — традиционное блюдо индийская кухни.,индийская
0efbecc3-7695-4228-8abf-fbac58f929f9,Пакора,Пакора — традиционное блюдо индийская кухни.,индийская
2a0a7edf-e267-47fa-9780-aa93849711f8,Гулаб джамун,Гулаб джамун — традиционное блюдо индийская кухни.,индийская
81d7415a-de23-4934-ba61-e853e5f24e33,Джалеби,Джалеби — традиционное блюдо индийская кухни.,индийская
1e0aed19-f1be-434b-8795-a0d4494bc7e9,Масала чай,Масала чай — традиционное блюдо индийская кухни.,индийская
e8ca4f9c-5a14-42c9-b876-5218dbeeaaa9,Кхир,Кхир — традиционное блюдо индийская кухни.,индийская
7c8687bd-c688-43b3-a6e5-d0bdcb98a338,Пани пури,Пани пури — традиционное блюдо индийская кухни.,индийская
784ecabb-23dd-4b14-9ffc-280e947e8225,Бхел пури,Бхел пури — традиционное блюдо индийская кухни.,индийская
6aa292ed-3f54-4806-9c35-fecd9a73afb8,Мисси роти,Мисси роти — традиционное блюдо индийская кухни.,индийская
bb11807f-574a-453f-a75b-a87732ebd97c,Алу тикки,Алу тикки — традиционное блюдо индийская кухни.,индийская
817d6d43-ea49-4ed4-9997-c9cd121345a2,Чаат,Чаат — традиционное блюдо индийская кухни.,индийская
466afe4b-be2d-4c2e-9bac-a134525aff19,Мург тикка,Мург тикка — традиционное блюдо индийская кухни.,индийская
525b19d1-6423-449c-a635-e9bd5e21205e,Колхапури,Колхапури — традиционное блюдо индийская кухни.,индийская
be491989-81c3-416c-beec-9d7eb8d1c3b9,Малаи кофта,Малаи кофта — традиционное блюдо индийская кухни.,индийская
b2bafba1-28cb-4f7e-8805-025e566764f5,Раджма,Раджма — традиционное блюдо индийская кухни.,индийская
3c86580d-3a2d-4b85-829c-d35caf898454,Шах панир,Шах панир — традиционное блюдо индийская кухни.,индийская
2d4fd773-41d7-4501-8ab0-119a3d66a129,Виндалу,Виндалу — традиционное блюдо индийская кухни.,индийская
f1db50b9-fd40-451a-84bd-9b8ae46713ed,Доса с картофелем,Доса с картофелем — традиционное блюдо индийская кухни.,индийская
945824cb-947f-4048-8d01-6e2501238073,Уттапам,Уттапам — традиционное блюдо индийская кухни.,индийская
37c5da3d-234f-4472-a68f-cb8045fa9d6e,Идли,Идли — традиционное блюдо индийская кухни.,индийская
8443ea2d-64e3-44e4-80de-2f8ac4c8f523,Меджу вада,Меджу вада — традиционное блюдо индийская кухни.,индийская
4c4c976e-8de0-47b1-95a6-6a3a657c275e,Козхикоде бирияни,Козхикоде бирияни — традиционное блюдо индийская кухни.,индийская
060939b3-70d7-4f9b-8056-0d0611e8cbac,Чикен 65,Чикен 65 — традиционное блюдо индийская кухни.,индийская
fe0ac5e3-3c34-49d5-8e3f-95e40a8270b0,Котту паротта,Котту паротта — традиционное блюдо индийская кухни.,индийская
306dcb03-c3e5-43a3-bbf7-62b980ddb6a7,Аппам,Аппам — традиционное блюдо индийская кухни.,индийская
764920d1-babb-4918-a087-3e1aa1eaa80d,Фо бо,Фо бо — традиционное блюдо вьетнамская кухни.,вьетнамская
64030027-0ffd-4c00-ad35-0c9a1862ceb8,Бун ча,Бун ча — традиционное блюдо вьетнамская кухни.,вьетнамская
e827166e-6d1a-42bf-b330-ccb9cd238bb6,Гой куон,Гой куон — традиционное блюдо вьетнамская кухни.,вьетнамская
4253621f-97cf-49cd-9461-ef7aaed5e073,Ка хой,Ка хой — традиционное блюдо вьетнамская кухни.,вьетнамская
cb1dd0b2-26bf-4f8b-8739-92ed26318d87,Ка рыа,Ка рыа — традиционное блюдо вьетнамская кухни.,вьетнамская
84fd2275-1581-478e-9d4b-6d3772853d17,Ча зо,Ча зо — традиционное блюдо вьетнамская кухни.,вьетнамская
33b1341e-64b8-4617-9ac3-2ca2c3536ecf,Камбала на пару,Камбала на пару — традиционное блюдо вьетнамская кухни.,вьетнамская
e9f2a87b-643c-4f0a-b9f4-70654f77b5b2,Бань куон,Бань куон — традиционное блюдо вьетнамская кухни.,вьетнамская
21ad4fa3-dcdd-4fd2-a6a5-747c04f3a953,Бань ми,Бань ми — традиционное блюдо вьетнамская кухни.,вьетнамская
152c174e-1baa-4aa9-b08c-3e2e40e9d3b1,Бань сео,Бань сео — традиционное блюдо вьетнамская кухни.,вьетнамская
2769b962-3e44-47ff-8728-78b55eaaa0e3,Бань кхот,Бань кхот — традиционное блюдо вьетнамская кухни.,вьетнамская
06801e23-9f60-4f9b-8a4d-1a4c608b87d0,Бань тет,Бань тет — традиционное блюдо вьетнамская кухни.,вьетнамская
c8720968-fe57-4c63-b96a-31fef7a7d4a0,Бань чунг,Бань чунг — традиционное блюдо вьетнамская кухни.,вьетнамская
ed61b188-ac05-4671-8340-650cff560536,Бань бао,Бань бао — традиционное блюдо вьетнамская кухни.,вьетнамская
2980b735-9fbc-4b37-ada4-5254d9a64001,Бань канг,Бань канг — традиционное блюдо вьетнамская кухни.,вьетнамская
3cee6a64-3721-4a5a-a7a7-fa58786aa270,Бань хой,Бань хой — традиционное блюдо вьетнамская кухни.,вьетнамская
56ee1896-f779-458e-a2c2-0195a48134dd,Бань бот лок,Бань бот лок — традиционное блюдо вьетнамская кухни.,вьетнамская
92801771-aa13-4c92-9eba-4116f54992f0,Бань уот,Бань уот — традиционное блюдо вьетнамская кухни.,вьетнамская
abb440e0-fb9f-4751-a5f6-5f299b730ea4,Бань конг,Бань конг — традиционное блюдо вьетнамская кухни.,вьетнамская
b72fb77d-158c-42b4-9f76-407ead65b4c0,Бань дау хань,Бань дау хань — традиционное блюдо вьетнамская кухни.,вьетнамская
95b59d12-a820-4678-8133-4b999f32813a,Бань кань,Бань кань — традиционное блюдо вьетнамская кухни.,вьетнамская
f46b2914-5024-443d-879d-c4ef8f8bccb9,Бань бео,Бань бео — традиционное блюдо вьетнамская кухни.,вьетнамская
5a045cb2-bd42-485f-8da9-78b6dea8c7bf,Бань ыт,Бань ыт — традиционное блюдо вьетнамская кухни.,вьетнамская
90152649-57ff-40c3-bf8c-530a599f85a6,Бань нам,Бань нам — традиционное блюдо вьетнамская кухни.,вьетнамская
8fd10ea9-f51c-4a08-b299-934558e8ead1,Бань гай,Бань гай — традиционное блюдо вьетнамская кухни.,вьетнамская
c9254e1a-830c-411d-8595-5c7bafd3e9c0,Бань фо,Бань фо — традиционное блюдо вьетнамская кухни.,вьетнамская
e92f51fe-d388-4e9f-9a74-402d78a1cac1,Бань кхой,Бань кхой — традиционное блюдо вьетнамская кухни.,вьетнамская
d5757778-4aa9-4cb7-9dd5-137b9ad186e5,Бань дау,Бань дау — традиционное блюдо вьетнамская кухни.,вьетнамская
8bc1c7a2-91a8-4b41-aea5-d659239bf0ce,Бань кун,Бань кун — традиционное блюдо вьетнамская кухни.,вьетнамская
f2c142d6-9e46-4dbd-a0c2-d7977bd0b8a2,Бань кунг,Бань кунг — традиционное блюдо вьетнамская кухни.,вьетнамская
6dd3df23-2546-40d8-a6ee-30bd95cbfc0a,Бань лот,Бань лот — традиционное блюдо вьетнамская кухни.,вьетнамская
15b2ebd9-a14a-4ee6-9ca5-5aff1fa16905,Бань нянг,Бань нянг — традиционное блюдо вьетнамская кухни.,вьетнамская
dde42fd7-7430-4483-92e2-907ffb50e017,Бань пхонг,Бань пхонг — традиционное блюдо вьетнамская кухни.,вьетнамская
a1a34265-d2a5-4a54-8b00-c7df84c7aeea,Бань рау,Бань рау — традиционное блюдо вьетнамская кухни.,вьетнамская
c71ecb97-aab7-4375-99ae-b2952b0fa668,Бань сой,Бань сой — традиционное блюдо вьетнамская кухни.,вьетнамская
fde6260d-5990-4ed4-a114-ebbad4d99f98,Бань там,Бань там — традиционное блюдо вьетнамская кухни.,вьетнамская
b4fed890-1e19-4929-9f5c-7be2c89f924b,Бань тхынг,Бань тхынг — традиционное блюдо вьетнамская кухни.,вьетнамская
2d821616-f2d3-4643-a4b6-8b6ecfc7428d,Бань уот,Бань уот — традиционное блюдо вьетнамская кухни.,вьетнамская
ed590c30-2ddd-4155-9233-428d6da7c780,Бань хео,Бань хео — традиционное блюдо вьетнамская кухни.,вьетнамская
161f0ce2-506d-4089-aaa4-9bb6357f42d2,Бань хот,Бань хот — традиционное блюдо вьетнамская кухни.,вьетнамская
254ae934-2b02-497a-8018-7e93a84e92c8,Хачапури по-аджарски,Хачапури по-аджарски — традиционное блюдо грузинская кухни.,грузинская
d3e3c474-66b6-48d7-8f2f-d36208acaeb1,Хинкали с мясом,Хинкали с мясом — традиционное блюдо грузинская кухни.,грузинская
cbc30fbf-cb6f-4aab-b396-58644792fabc,Чурчхела,Чурчхела — традиционное блюдо грузинская кухни.,грузинская
8dc15196-499b-479f-89ca-66f54e8b06d8,Лобио в горшочке,Лобио в горшочке — традиционное блюдо грузинская кухни.,грузинская
2c4c8ccd-391f-41fe-ae18-66a7c3a5aa45,Сациви из курицы,Сациви из курицы — традиционное блюдо грузинская кухни.,грузинская
b25ab51b-abc0-4ff2-9825-88390d9d43ca,Чахохбили,Чахохбили — традиционное блюдо грузинская кухни.,грузинская
845cfe37-48f8-4766-b99a-23778cfcaa18,Кебаб по-грузински,Кебаб по-грузински — традиционное блюдо грузинская кухни.,грузинская
b421056f-5642-4b6f-96e1-b9234327754b,Пхали из шпината,Пхали из шпината — традиционное блюдо грузинская кухни.,грузинская
c5475efb-1de4-492e-9be5-521bd8130863,Купаты,Купаты — традиционное блюдо грузинская кухни.,грузинская
ee3ed31b-b9d2-4c2a-9ace-0be3483f3c7e,Мцвади,Мцвади — традиционное блюдо грузинская кухни.,грузинская
d065146b-dcf9-44dd-99cf-664368e75523,Баже,Баже — традиционное блюдо грузинская кухни.,грузинская
15243896-f8c5-4258-9268-9d985a6ff19c,Эларджи,Эларджи — традиционное блюдо грузинская кухни.,грузинская
8523879d-ec73-43f7-a83b-02c43b0e3a00,Гебжалия,Гебжалия — традиционное блюдо грузинская кухни.,грузинская
